Key,Value
Diffusion,"Damage dealt to enemies is split evenly across all nearby units, including your own."
Black Death,Some enemy units carry a plague that deals damage over time and spreads to other nearby units. The plague spreads to your units when the enemy unit is killed.
Eminent Domain,Enemies gain control of your structures after destroying them.
Gift Exchange,"Gifts are periodically deployed around the map.  If you don&apos;t claim them, Amon will!"
Naughty List,Player units and structures take increased damage for each enemy they&apos;ve killed.
Extreme Caution,Your units will not obey any command placed in areas they cannot see.
Insubordination,Your units don&apos;t follow orders exactly.
Heroes from the Storm,Attack waves will be joined by heroes of increasing power.
Inspiration,Enemy Heroic units increase the attack speed and armor of all enemies within a small range. 
Hardened Will,Enemy Heroic units reduce all incoming damage to a maximum of 10 when any non-heroic enemy unit is near them.
Fireworks,"Enemies launch a dazzling fireworks display upon death, dealing damage to your nearby units."
Lucky Envelopes,Festive envelopes containing resource pickups are dropped at random throughout the map.
Sluggishness,Your units accelerate and turn slowly.
Double-Edged,"Your units also receive all the damage they deal, but they are healed over time."
Fatal Attraction,"When enemy units and structures die, any of your nearby units are pulled to their location."
Propagators,"Shapeless lifeforms creep toward your base, transforming all of the units and structures they touch into copies of themselves."
Moment Of Silence,"When a Heroic enemy dies, all player units around it will reflect on their transgressions, leaving them unable to attack or use abilities."
Kill Bots,"Offensive robots of a mysterious origin have been unleashed on the Koprulu sector, intent on destruction. Through cunning engineering, they are invincible until their pre-programmed kill counter has been filled. After that occurs, they will shut down. But can you survive for that long?"
Boom Bots,Uncaring automatons carry a nuclear payload toward your base. One player must discern the disarming sequence and the other player must enter it.
The Mist,Mists roll over battlefield while unseen terrors lurk inside. Desperate warriors will fall and rise again.
The Usual Suspects,Enemy attacks will be led by dark reflections of Heroes in the service of Amon
Supreme Commander,"Massive units gain 25% life and are bigger, the rest of units have 25% less life and are smaller. All units gain +2 weapon range."
Shapeshifters,Shapeshifters spawn with enemy attacks and in enemy bases. These creatures can transform into any unit of yours.
Rip Field Generators,Rip-Field Generators are deployed throughout the map. They will burn any unit that comes into their range.
Repulsive Field,Enemy attacks will push your units away.
Old Times,"We are traveling back in time. Unit selection is limited to 12 units. There is no worker auto-mine, no smart cast, no multiple building select, etc."
Nuclear Mines,Nuclear Mines have been placed around the battlefield.
Necronomicon,Killed player units will rise again at enemy bases.
Mothership,Enemy Mothership roams the map and attacks player units.
Matryoshka,Enemy units will spawn mini-self upon death. This can trigger several times for larger units.
Level Playing Field,All weapons and abilities can hit both air and ground targets.
Infestation Station,Damaging any structure can cause infestation.
"I Collect, I Change","When a non-heroic unit kills a hostile unit, it becomes the unit it killed. Units can only evolve into more expensive units."
Great Wall,Enemy begins massive effort to construct defensive structures around the battlefield.
Endurance,Player and enemy units and structures have 3x more health and shields.
Dark Mirror,Enemy attack waves will contain player units.
Bloodlust,"Enemy units gain increased attack speed, movement speed, acceleration and damage reduction as their health gets lower."
BlizzCon Challenge,"The BlizzCon Challenge starts with a single Mutator. As time passes, more Mutators will be added, until TEN Mutators are running wild at the same time."
